m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
6.866488,1.0216981478e+01,1.8563671809e-03,0.818569,0.46755803
6.866488,1.1406794577e+01,2.2332042800e-03,0.687510,0.46826359
6.866488,1.2735166723e+01,2.7117270019e-03,0.581304,0.46776230
7.906043,5.8900303675e+00,8.8159198861e-04,2.560590,0.46970032
7.906043,6.5759506955e+00,1.0122026793e-03,2.088824,0.46759034
7.906043,7.3417495075e+00,1.1730601310e-03,1.718482,0.46871194
7.906043,8.1967290095e+00,1.3679651377e-03,1.418936,0.46953361
7.906043,9.1512746909e+00,1.6052095969e-03,1.175390,0.46924895
7.906043,1.0216981478e+01,1.9012595559e-03,0.980841,0.46956530
7.906043,1.1406794577e+01,2.2730239755e-03,0.824263,0.46951401
7.906043,1.2735166723e+01,2.7429605896e-03,0.697356,0.46817582
7.906043,1.4218233734e+01,3.3619405254e-03,0.599245,0.46920147
7.906043,1.5874010520e+01,4.1721931973e-03,0.520548,0.46916033
9.102982,3.0413853336e+00,3.9291182151e-04,8.634158,0.38008095
9.102982,3.3955682317e+00,4.3866815699e-04,6.967734,0.37380946
9.102982,3.7909973093e+00,4.8975302199e-04,5.602178,0.36642987
9.102982,4.2324758681e+00,5.9100706917e-04,4.995141,0.41628663
9.102982,4.7253665758e+00,7.1319489647e-04,4.432945,0.46967634
9.102982,5.2756566064e+00,8.1125078491e-04,3.620073,0.46957971
9.102982,5.8900303675e+00,9.2566323440e-04,2.958276,0.46890734
9.102982,6.5759506955e+00,1.0628032220e-03,2.428764,0.46980246
9.102982,7.3417495075e+00,1.2240627769e-03,1.994442,0.46884892
9.102982,8.1967290095e+00,1.4185886590e-03,1.644487,0.46801810
9.102982,9.1512746909e+00,1.6594425435e-03,1.366768,0.46904214
9.102982,1.0216981478e+01,1.9533043597e-03,1.139791,0.46839436
9.102982,1.1406794577e+01,2.3207617780e-03,0.957405,0.46765669
9.102982,1.2735166723e+01,2.7918696198e-03,0.813186,0.46813971
9.102982,1.4218233734e+01,3.4006632524e-03,0.698161,0.46862053
9.102982,1.5874010520e+01,3.8085145959e-03,0.530813,0.40585597
10.481131,2.7241463332e+00,3.0565365354e-04,9.085574,0.25613194
10.481131,3.0413853336e+00,3.4124838586e-04,7.400284,0.25334224
10.481131,3.3955682317e+00,3.8098828365e-04,6.002074,0.25003546
10.481131,3.7909973093e+00,4.3471988376e-04,4.996137,0.25688798
10.481131,4.2324758681e+00,5.7056030776e-04,4.998211,0.34574819
10.481131,4.7253665758e+00,7.5586902910e-04,4.999890,0.46936400
