chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
1.2188,0.1219,100.000000,9.151275,2.857348e-03,31.2235,0,,1.325567e+00,1.918999e+00,1.961871e+00,1.855957e+00,1.782312e+00,1.705442e+00,6.644566e-01,6.082694e-01,1.526420e-01,1.327264e-01,1.162184e-01,9.375148e-03
1.2199,0.1220,100.000000,9.151275,2.878919e-03,31.4592,0,,1.330743e+00,1.929474e+00,1.971654e+00,1.864378e+00,1.790063e+00,1.712591e+00,6.687093e-01,6.123184e-01,1.543196e-01,1.342418e-01,1.175892e-01,9.514095e-03
1.2203,0.1220,100.000000,9.151275,2.885028e-03,31.5260,0,,1.332205e+00,1.932433e+00,1.974414e+00,1.866753e+00,1.792248e+00,1.714606e+00,6.699124e-01,6.134638e-01,1.547948e-01,1.346713e-01,1.179778e-01,9.553621e-03
1.2207,0.1221,100.000000,9.151275,2.779567e-03,30.3736,0,,1.306699e+00,1.880836e+00,1.926122e+00,1.825097e+00,1.753875e+00,1.679190e+00,6.490586e-01,5.936073e-01,1.465759e-01,1.272467e-01,1.112814e-01,8.875784e-03
1.2207,0.1221,100.000000,9.151275,2.779318e-03,30.3708,0,,1.306638e+00,1.880713e+00,1.926006e+00,1.824997e+00,1.753783e+00,1.679104e+00,6.490091e-01,5.935602e-01,1.465566e-01,1.272293e-01,1.112657e-01,8.874226e-03
1.2211,0.1221,100.000000,9.151275,2.894685e-03,31.6315,0,,1.334512e+00,1.937101e+00,1.978769e+00,1.870496e+00,1.795692e+00,1.717781e+00,6.718129e-01,6.152730e-01,1.555460e-01,1.353503e-01,1.185924e-01,9.616252e-03
1.2221,0.1222,100.000000,9.151275,2.764819e-03,30.2124,0,,1.303085e+00,1.873529e+00,1.919258e+00,1.819156e+00,1.748395e+00,1.674126e+00,6.461273e-01,5.908158e-01,1.454314e-01,1.262157e-01,1.103510e-01,8.783758e-03
1.2223,0.1222,100.000000,9.151275,2.905911e-03,31.7542,0,,1.337188e+00,1.942516e+00,1.983817e+00,1.874834e+00,1.799681e+00,1.721459e+00,6.740203e-01,6.173745e-01,1.564195e-01,1.361400e-01,1.193074e-01,9.689303e-03
1.2230,0.1223,100.000000,9.151275,2.756843e-03,30.1252,0,,1.301125e+00,1.869569e+00,1.915535e+00,1.815931e+00,1.745419e+00,1.671376e+00,6.445406e-01,5.893047e-01,1.448126e-01,1.256584e-01,1.098483e-01,8.734179e-03
1.2234,0.1223,100.000000,9.151275,2.753748e-03,30.0914,0,,1.300364e+00,1.868030e+00,1.914088e+00,1.814678e+00,1.744263e+00,1.670307e+00,6.439247e-01,5.887182e-01,1.445726e-01,1.254423e-01,1.096534e-01,8.714980e-03
1.2310,0.1231,100.000000,9.151275,2.706961e-03,29.5802,0,,1.288790e+00,1.844645e+00,1.892063e+00,1.795569e+00,1.726617e+00,1.653992e+00,6.345917e-01,5.798296e-01,1.409381e-01,1.221696e-01,1.066751e-01,8.408802e-03
1.2403,0.1240,100.000000,9.151275,3.004089e-03,32.8270,0,,1.360325e+00,1.989348e+00,2.027330e+00,1.912109e+00,1.833925e+00,1.753000e+00,6.932431e-01,6.356678e-01,1.640697e-01,1.430695e-01,1.256187e-01,1.036060e-02
1.2410,0.1241,100.000000,9.151275,2.663513e-03,29.1054,0,,1.277930e+00,1.822720e+00,1.871356e+00,1.777555e+00,1.709965e+00,1.638582e+00,6.258896e-01,5.715413e-01,1.375756e-01,1.191486e-01,1.039563e-01,8.146119e-03
