m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000
37.926902,1.297533e+01,1.869624e-03,0.120000,5.4649,0.606590,0.095068
37.926902,1.133791e+01,1.869624e-03,0.120000,6.2542,0.871207,0.126473
37.926902,9.907132e+00,1.869624e-03,0.120000,7.1574,1.239161,0.167767
37.926902,8.656907e+00,1.869624e-03,0.120000,8.1910,1.748105,0.222025
37.926902,7.564454e+00,1.869624e-03,0.120000,9.3740,2.458621,0.293273
37.926902,6.609862e+00,1.869624e-03,0.120000,10.7278,3.485670,0.386780
10.000000,7.564454e+00,5.585257e-04,0.120000,0.7384,0.597409,0.093478
10.000000,6.609862e+00,5.585257e-04,0.120000,0.8450,0.995890,0.127970
10.000000,5.775735e+00,5.585257e-04,0.120000,0.9670,1.631254,0.173930
10.000000,5.046869e+00,5.585257e-04,0.120000,1.1067,2.628594,0.234935
10.000000,4.409983e+00,5.585257e-04,0.120000,1.2665,4.171459,0.315669
10.000000,3.853468e+00,5.585257e-04,0.120000,1.4494,6.525328,0.422273
69.519280,1.297533e+01,3.374628e-03,0.120000,18.0806,0.696101,0.135439
69.519280,1.133791e+01,3.374628e-03,0.120000,20.6918,1.018398,0.178133
69.519280,9.907132e+00,3.374628e-03,0.120000,23.6801,1.552284,0.234194
69.519280,8.656907e+00,3.374628e-03,0.120000,27.0999,2.423884,0.307837
69.519280,7.564454e+00,3.374628e-03,0.120000,31.0137,3.772926,0.404556
14.384499,8.656907e+00,7.612297e-04,0.120001,1.2649,0.738381,0.096753
14.384499,7.564454e+00,7.612297e-04,0.120001,1.4475,1.172684,0.131066
14.384499,6.609862e+00,7.612297e-04,0.120001,1.6566,1.834103,0.176546
14.384499,5.775735e+00,7.612297e-04,0.120001,1.8958,2.828270,0.236671
14.384499,5.046869e+00,7.612297e-04,0.120001,2.1696,4.303788,0.316003
14.384499,4.409983e+00,7.612297e-04,0.120001,2.4830,6.466228,0.420517
29.763514,1.297533e+01,1.482923e-03,0.120001,3.4016,0.513399,0.077641
29.763514,1.133791e+01,1.482923e-03,0.120001,3.8929,0.758846,0.104034
29.763514,9.907132e+00,1.482923e-03,0.120001,4.4551,1.109760,0.138841
29.763514,8.656907e+00,1.482923e-03,0.120001,5.0985,1.606017,0.184679
29.763514,7.564454e+00,1.482923e-03,0.120001,5.8348,2.300500,0.244973
29.763514,6.609862e+00,1.482923e-03,0.120001,6.6774,3.266458,0.324219
29.763514,5.775735e+00,1.482923e-03,0.120001,7.6418,4.618684,0.428295
88.586679,1.484921e+01,4.286542e-03,0.120001,25.5724,0.531985,0.110718
88.586679,1.297533e+01,4.286542e-03,0.120001,29.2656,0.816763,0.145605
88.586679,1.133791e+01,4.286542e-03,0.120001,33.4921,1.280176,0.191491
88.586679,9.907132e+00,4.286542e-03,0.120001,38.3290,1.989288,0.251819
88.586679,8.656907e+00,4.286542e-03,0.120001,43.8645,3.008726,0.331113
88.586679,7.564454e+00,4.286542e-03,0.120001,50.1993,4.393574,0.435282
78.475997,1.484921e+01,3.802734e-03,0.120001,20.0969,0.502139,0.107233
78.475997,1.297533e+01,3.802734e-03,0.120001,22.9993,0.736463,0.141005
78.475997,1.133791e+01,3.802734e-03,0.120001,26.3208,1.126613,0.185388
78.475997,9.907132e+00,3.802734e-03,0.120001,30.1221,1.762774,0.243720
78.475997,8.656907e+00,3.802734e-03,0.120001,34.4723,2.741994,0.320375
78.475997,7.564454e+00,3.802734e-03,0.120001,39.4507,4.158562,0.421083
11.288379,7.564454e+00,6.176711e-04,0.119998,0.9217,0.767283,0.104732
11.288379,6.609862e+00,6.176711e-04,0.119998,1.0549,1.251319,0.142498
11.288379,5.775735e+00,6.176711e-04,0.119998,1.2072,2.007247,0.192656
11.288379,5.046869e+00,6.176711e-04,0.119998,1.3816,3.170809,0.259068
11.288379,4.409983e+00,6.176711e-04,0.119998,1.5811,4.937468,0.346795
11.288379,3.853468e+00,6.176711e-04,0.119998,1.8094,7.584347,0.462464
48.329302,1.297533e+01,2.364068e-03,0.119998,8.8055,0.662011,0.112850
48.329302,1.133791e+01,2.364068e-03,0.119998,10.0771,0.928285,0.149240
48.329302,9.907132e+00,2.364068e-03,0.119998,11.5325,1.299310,0.197001
48.329302,8.656907e+00,2.364068e-03,0.119998,13.1980,1.838441,0.259673
